时间戳[G]	当前价[0]	成交总额[2]	成交总量[1]	原始成交总量[v]	持仓量[3]	昨结算[4]	成交笔数[5]	开盘价[8]	最高价[9]	最低价[a]	今结算[b]	前收盘[c]	证券状态[h]	市盈率2[7]	多档委买价[d]	多档委买量[e]	多档委卖价[f]	多档委卖量[g]
2019-12-2414:21:54	16.46	648198243.28	395752	0	13	0.00	25606	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	52,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	76,3738,5529,14122,805
2019-12-2414:21:51	16.46	648196605.39	395751	0	13	0.00	25605	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	53,1583,954,618,135	16.480000,16.490000,16.500000,16.510000,16.520000	3815,5530,14117,805,1321
2019-12-2414:21:48	16.47	648009885.93	395637	0	13	0.00	25593	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	64,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	37,3881,5530,14117,805
2019-12-2414:21:45	16.47	647964025.01	395609	0	13	0.00	25586	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	62,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	55,3881,5526,14112,805
2019-12-2414:21:42	16.46	647911612.53	395577	0	13	0.00	25579	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	62,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	87,3869,5532,14112,805
2019-12-2414:21:39	16.46	647855924.27	395543	0	13	0.00	25574	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	53,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	116,3869,5544,14082,805
2019-12-2414:21:36	16.47	647591545.92	395384	0	13	0.00	25562	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	133,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	195,3819,5604,14097,805
2019-12-2414:21:33	16.47	647591545.92	395384	0	13	0.00	25562	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	138,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	185,3819,5601,14097,805
2019-12-2414:21:30	16.47	647334398.76	395227	0	13	0.00	25555	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	237,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	211,3719,5563,14092,805
2019-12-2414:21:27	16.46	647331123.00	395225	0	13	0.00	25554	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	231,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	203,3719,5559,14092,805
2019-12-2414:21:24	16.47	647175524.40	395130	0	13	0.00	25546	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	251,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	276,3719,5551,14082,805
2019-12-2414:21:21	16.47	647175524.40	395130	0	13	0.00	25546	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	251,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	266,3622,5498,14065,805
2019-12-2414:21:18	16.47	646729348.20	394860	0	13	0.00	25543	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	251,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	524,3622,5498,14064,805
2019-12-2414:21:15	16.47	646722796.72	394856	0	13	0.00	25540	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	253,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	526,3629,5498,14064,803
2019-12-2414:21:12	16.46	646632713.87	394801	0	13	0.00	25538	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	256,1583,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	563,3609,5498,14064,803
2019-12-2414:21:09	16.47	646624524.52	394796	0	13	0.00	25537	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	261,1571,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	546,3609,5498,14059,803
2019-12-2414:21:06	16.46	646565561.20	394760	0	13	0.00	25533	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	272,1566,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	554,3609,5498,14059,803
2019-12-2414:21:03	16.47	646436169.47	394681	0	13	0.00	25532	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	351,1566,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	554,3609,5469,14029,803
2019-12-2414:21:00	16.47	646393584.85	394655	0	13	0.00	25531	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	351,1564,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	575,3509,5464,13988,803
2019-12-2414:20:57	16.46	646387033.37	394651	0	13	0.00	25528	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	311,1564,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	579,3509,5464,13995,803
2019-12-2414:20:54	16.47	646380481.89	394647	0	13	0.00	25527	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	4,1564,954,618,185	16.470000,16.480000,16.490000,16.500000,16.510000	579,3509,5414,13935,803
2019-12-2414:20:51	16.45	646345416.08	394628	0	13	0.00	25522	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1566,954,618,185,434	16.460000,16.470000,16.480000,16.490000,16.500000	16,581,3509,5414,13935
2019-12-2414:20:48	16.47	646319210.32	394612	0	13	0.00	25518	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	2,1578,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	525,3459,4991,13935,803
2019-12-2414:20:45	16.46	646235679.46	394561	0	13	0.00	25510	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	39,1578,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	496,3459,4991,13942,803
2019-12-2414:20:42	16.46	646183267.94	394529	0	13	0.00	25507	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	68,1578,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	483,3409,4985,13958,803
2019-12-2414:20:39	16.46	646183267.94	394529	0	13	0.00	25507	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	68,1578,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	483,3405,4985,13938,810
2019-12-2414:20:36	16.45	646124304.98	394493	0	13	0.00	25502	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1578,954,615,185,434	16.460000,16.470000,16.480000,16.490000,16.500000	14,514,3405,4985,13938
2019-12-2414:20:33	16.46	645983449.02	394407	0	13	0.00	25498	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1657,954,615,185,434	16.460000,16.470000,16.480000,16.490000,16.500000	21,514,3405,4985,13938
2019-12-2414:20:30	16.46	645983449.02	394407	0	13	0.00	25498	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1657,954,615,185,434	16.470000,16.480000,16.490000,16.500000,16.510000	514,3405,4799,13898,810
2019-12-2414:20:27	16.46	645932675.36	394376	0	13	0.00	25492	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	1,1657,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	515,3401,4779,13898,810
2019-12-2414:20:24	16.46	645767251.50	394275	0	13	0.00	25488	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	1,1657,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	530,3401,4778,13896,810
2019-12-2414:20:21	16.47	645707621.85	394241	0	13	0.00	25478	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	10,1657,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	540,3434,4775,13889,810
2019-12-2414:20:18	16.46	645681416.25	394225	0	13	0.00	25476	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	8,1657,954,615,185	16.470000,16.480000,16.490000,16.500000,16.510000	56,3484,4763,13870,810
